id,currency_id,currency_name,price_value,exchange_price_value,date,created_at
1,divine,"Divine Orb",400.0,1.0,"2025-03-20 14:38:00","2025-03-20 14:38:16"
2,divine,"Divine Orb",450.0,1.0,"2025-03-20 14:38:00","2025-03-20 14:38:19"
3,divine,"Divine Orb",397.0,1.0,"2025-03-20 14:39:00","2025-03-20 14:39:25"
4,divine,"Divine Orb",417.0,1.0,"2025-03-20 14:45:00","2025-03-20 14:45:49"
8,divine,"Divine Orb",417.0,1.0,"2025-03-20 14:49:00","2025-03-20 14:49:19"
9,divine,"Divine Orb",417.0,1.0,"2025-03-20 14:49:00","2025-03-20 14:49:24"
10,divine,"Divine Orb",417.0,1.0,"2025-03-20 14:50:00","2025-03-20 14:50:49"
11,divine,"Divine Orb",520.0,1.0,"2025-03-20 14:47:00","2025-03-20 14:47:12"
12,divine,"Divine Orb",405.0,1.0,"2025-03-20 14:51:00","2025-03-20 14:51:12"
13,divine,"Divine Orb",444.0,1.0,"2025-03-20 14:53:00","2025-03-20 14:53:12"
14,divine,"Divine Orb",417.0,1.0,"2025-03-20 15:02:00","2025-03-20 15:02:27"
15,divine,"Divine Orb",400.0,1.0,"2025-03-20 15:17:00","2025-03-20 15:17:06"
16,divine,"Divine Orb",417.0,1.0,"2025-03-20 15:17:00","2025-03-20 15:17:57"
17,divine,"Divine Orb",450.0,1.0,"2025-03-20 15:18:00","2025-03-20 15:18:58"
18,divine,"Divine Orb",417.0,1.0,"2025-03-20 15:19:00","2025-03-20 15:19:00"
19,divine,"Divine Orb",417.0,1.0,"2025-03-20 15:21:00","2025-03-20 15:21:21"
20,divine,"Divine Orb",405.0,1.0,"2025-03-20 15:23:00","2025-03-20 15:23:12"
21,divine,"Divine Orb",417.0,1.0,"2025-03-20 15:28:00","2025-03-20 15:28:58"
22,divine,"Divine Orb",417.0,1.0,"2025-03-20 15:29:00","2025-03-20 15:29:01"
23,divine,"Divine Orb",420.0,1.0,"2025-03-20 15:38:00","2025-03-20 15:38:50"
24,divine,"Divine Orb",417.0,1.0,"2025-03-20 15:39:00","2025-03-20 15:39:13"
25,divine,"Divine Orb",450.0,1.0,"2025-03-20 15:44:00","2025-03-20 15:44:27"
26,divine,"Divine Orb",417.0,1.0,"2025-03-20 15:46:00","2025-03-20 15:46:26"
27,divine,"Divine Orb",400,1.0,"2025-03-21 08:07:00","2025-03-21 08:07:52"
37,divine,"Divine Orb",400,1.0,"2025-03-21 09:53:00","2025-03-21 09:53:00"
38,divine,"Divine Orb",400,1.0,"2025-03-21 09:56:00","2025-03-21 09:56:14"
39,divine,"Divine Orb",415.0,1.0,"2025-03-21 15:57:00","2025-03-21 15:57:03"
42,divine,"Divine Orb",416,1.0,"2025-03-22 22:21:00","2025-03-22 22:21:12"
43,divine,"Divine Orb",410.0,1.0,"2025-03-23 00:13:00","2025-03-23 00:13:53"
44,divine,"Divine Orb",410.0,1.0,"2025-03-23 00:14:00","2025-03-23 00:14:00"
45,divine,"Divine Orb",400,1.0,"2025-03-23 01:54:00","2025-03-23 01:54:56"
50,divine,"Divine Orb",400,1.0,"2025-03-23 02:27:00","2025-03-23 02:27:41"
